0,1
Datasets\captcha_images_v2\92868.png,92868
Datasets\captcha_images_v2\44976.png,44976
Datasets\captcha_images_v2\80948.png,80948
Datasets\captcha_images_v2\89455.png,89455
Datasets\captcha_images_v2\17921.png,17921
Datasets\captcha_images_v2\40764.png,40764
Datasets\captcha_images_v2\50170.png,50170
Datasets\captcha_images_v2\16947.png,16947
Datasets\captcha_images_v2\88087.png,88087
Datasets\captcha_images_v2\32131.png,32131
Datasets\captcha_images_v2\72462.png,72462
Datasets\captcha_images_v2\97063.png,97063
Datasets\captcha_images_v2\42594.png,42594
Datasets\captcha_images_v2\77689.png,77689
Datasets\captcha_images_v2\09904.png,09904
Datasets\captcha_images_v2\97253.png,97253
Datasets\captcha_images_v2\20561.png,20561
Datasets\captcha_images_v2\40132.png,40132
Datasets\captcha_images_v2\78210.png,78210
Datasets\captcha_images_v2\27605.png,27605
Datasets\captcha_images_v2\87469.png,87469
Datasets\captcha_images_v2\99712.png,99712
Datasets\captcha_images_v2\89213.png,89213
Datasets\captcha_images_v2\19307.png,19307
Datasets\captcha_images_v2\89669.png,89669
Datasets\captcha_images_v2\60134.png,60134
Datasets\captcha_images_v2\09081.png,09081
Datasets\captcha_images_v2\45243.png,45243
Datasets\captcha_images_v2\89163.png,89163
Datasets\captcha_images_v2\87006.png,87006
Datasets\captcha_images_v2\60175.png,60175
Datasets\captcha_images_v2\78141.png,78141
Datasets\captcha_images_v2\08644.png,08644
Datasets\captcha_images_v2\00861.png,00861
Datasets\captcha_images_v2\84101.png,84101
Datasets\captcha_images_v2\30306.png,30306
Datasets\captcha_images_v2\60287.png,60287
Datasets\captcha_images_v2\52231.png,52231
Datasets\captcha_images_v2\93912.png,93912
Datasets\captcha_images_v2\18073.png,18073
Datasets\captcha_images_v2\88540.png,88540
Datasets\captcha_images_v2\12562.png,12562
Datasets\captcha_images_v2\03954.png,03954
Datasets\captcha_images_v2\76239.png,76239
Datasets\captcha_images_v2\42189.png,42189
Datasets\captcha_images_v2\26657.png,26657
Datasets\captcha_images_v2\79667.png,79667
Datasets\captcha_images_v2\34998.png,34998
Datasets\captcha_images_v2\71223.png,71223
