0,1
Datasets/captcha_images_v2/80085.png,80085
Datasets/captcha_images_v2/48054.png,48054
Datasets/captcha_images_v2/50057.png,50057
Datasets/captcha_images_v2/37882.png,37882
Datasets/captcha_images_v2/14527.jpeg,14527
Datasets/captcha_images_v2/77161.png,77161
Datasets/captcha_images_v2/88225.png,88225
Datasets/captcha_images_v2/67993.png,67993
Datasets/captcha_images_v2/43273.png,43273
Datasets/captcha_images_v2/62288.png,62288
Datasets/captcha_images_v2/71722.png,71722
Datasets/captcha_images_v2/03333.png,03333
Datasets/captcha_images_v2/77277.jpeg,77277
Datasets/captcha_images_v2/69927.png,69927
Datasets/captcha_images_v2/77232.png,77232
Datasets/captcha_images_v2/74403.png,74403
Datasets/captcha_images_v2/52322.png,52322
Datasets/captcha_images_v2/04973.png,04973
Datasets/captcha_images_v2/11143.png,11143
Datasets/captcha_images_v2/61753.png,61753
Datasets/captcha_images_v2/09230.png,09230
Datasets/captcha_images_v2/84898.png,84898
Datasets/captcha_images_v2/75534.png,75534
Datasets/captcha_images_v2/37798.jpeg,37798
Datasets/captcha_images_v2/54475.png,54475
